idPlayer,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,gamesWinned,descMapName_de_ancient,descMapName_de_dust2,descMapName_de_inferno,descMapName_de_mirage,descMapName_de_nuke,descMapName_de_overpass,descMapName_de_train,descMapName_de_vertigo,KDA,hitRate,ADR,HSRate,gamesPlayed,winRate,weightedHitRate,brilliantPerformance,grade
2276,2017,309,1502,1046,29,109,1.0,14.0,648,342,155,44,8,296,260735,6524.0,33750,58.0,46,2098,540.0,242.0,44.0,1270.0,3324.0,978.0,182.0,503.0,132.0,135.0,38,0,9,16,30,7,13,2,3,1.548601864181092,0.1933037037037037,124.27788369876072,0.03762962962962963,80,0.475,0.24517007407407407,3.5787500000000003,A
2277,1764,368,2020,770,29,133,3.0,13.0,823,319,75,16,2,309,233450,6146.0,45616,71.0,41,2725,630.0,297.0,34.0,998.0,2846.0,1202.0,180.0,512.0,166.0,242.0,44,3,7,23,23,10,9,8,17,1.0554455445544555,0.1347334268677657,85.6697247706422,0.021878288319887758,100,0.44,0.16035426166257455,2.1815,E
2278,2087,423,2008,845,25,153,0.0,30.0,835,385,114,28,5,293,276963,7185.0,48466,62.0,41,2694,616.0,355.0,88.0,1062.0,3192.0,1648.0,198.0,590.0,222.0,273.0,44,3,12,25,37,12,8,1,2,1.25,0.14824825650971815,102.80734966592428,0.0219122683943383,100,0.44,0.17572360004951923,2.4245,C
2279,77,23,129,35,0,2,0.0,0.0,29,15,6,0,0,17,10956,308.0,1622,0.0,0,153,23.0,22.0,0.0,51.0,151.0,52.0,11.0,26.0,7.0,10.0,3,0,2,0,1,1,1,0,0,0.7751937984496124,0.18988902589395806,71.6078431372549,0.031442663378545004,5,0.6,0.2204870530209618,2.0300000000000002,E
2280,2295,421,1885,994,44,89,1.0,25.0,856,396,159,38,3,324,299412,8345.0,64864,81.0,53,2701,752.0,363.0,67.0,1263.0,3888.0,1718.0,255.0,677.0,252.0,292.0,55,16,2,8,18,19,12,4,21,1.4408488063660478,0.12865379871731622,110.85227693446872,0.01947150962012827,100,0.55,0.15284009620128272,2.8160000000000003,B
2281,110,32,130,35,0,9,0.0,0.0,68,13,4,1,0,16,14421,453.0,3422,5.0,3,205,83.0,23.0,2.0,47.0,207.0,112.0,12.0,41.0,17.0,17.0,6,0,0,6,1,0,1,0,0,1.0923076923076922,0.13237872589129165,70.34634146341463,0.013734658094681473,8,0.75,0.14867329047340735,1.30625,F
2282,265,56,313,87,3,26,0.0,1.0,128,51,9,2,0,34,35243,1128.0,5636,7.0,8,427,106.0,40.0,5.0,112.0,462.0,295.0,46.0,102.0,59.0,52.0,5,1,5,1,4,1,1,1,2,1.02555910543131,0.20014194464158977,82.53629976580797,0.0198722498225692,16,0.3125,0.2205074520936835,1.5625000000000002,E
2283,1670,335,1861,600,25,107,0.0,22.0,830,304,61,12,0,213,216233,6037.0,36367,72.0,37,2754,829.0,341.0,87.0,768.0,2511.0,1576.0,212.0,416.0,260.0,294.0,56,2,9,48,3,13,12,2,11,1.077377753895755,0.16600214480160586,78.5159767610748,0.021118046580691285,100,0.56,0.19056699755272638,1.7224999999999997,E
2284,51,8,49,24,1,4,0.0,1.0,23,11,2,0,0,4,6649,164.0,1185,1.0,2,62,16.0,9.0,1.0,30.0,72.0,35.0,4.0,14.0,7.0,2.0,1,0,0,2,0,0,0,0,0,1.2040816326530612,0.13839662447257384,107.24193548387096,0.02531645569620253,2,0.5,0.1700675105485232,2.95,B
2285,1274,300,1434,556,24,134,1.0,25.0,599,219,61,12,1,192,173842,4399.0,42962,65.0,32,1998,520.0,260.0,81.0,693.0,2107.0,844.0,131.0,352.0,124.0,148.0,31,0,9,21,25,7,6,3,3,1.097629009762901,0.10239281225268843,87.008008008008,0.016130533960243935,74,0.4189189189189189,0.12328127182160978,2.1540540540540536,E
